,iprofile,bodemcode,areaal,ihoofd,isoil1,iz1,isoil2,iz2,isoil3,iz3,isoil4,iz4,isoil5,iz5,isoil6,iz6,isoil7,iz7,isoil8,iz8,isoil9,iz9
107,4150,Hd21g,5894.218649,3,1,8,19,15,19,30,19,50,19,80,23,120,0,99999,0,99999,0,99999
108,4160,gHd30,38789.44514,3,5,8,23,15,23,30,23,60,23,120,0,99999,0,99999,0,99999,0,99999
109,4170,cHd21,2762.203737,3,2,25,2,35,20,50,20,65,19,120,0,99999,0,99999,0,99999,0,99999
110,5010,BLd5,1647.801851,5,13,20,32,50,33,80,32,120,0,99999,0,99999,0,99999,0,99999,0,99999
111,5011,BLd5g,865.5269351,5,13,20,32,50,33,80,32,110,23,120,0,99999,0,99999,0,99999,0,99999
112,5020,BLd6,10760.83837,5,14,25,33,40,33,60,33,90,33,120,0,99999,0,99999,0,99999,0,99999
113,5030,BLb6,10405.30799,5,14,20,33,40,33,90,33,120,0,99999,0,99999,0,99999,0,99999,0,99999
114,5040,BKd25,3553.527308,4,8,25,27,40,27,55,28,90,26,120,0,99999,0,99999,0,99999,0,99999
115,8010,EZg21,2106.494038,3,2,15,2,50,2,70,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
116,8012,EZg21w,1317.029611,3,2,15,2,50,16,70,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
117,8016,EZg21,1038.138125,3,1,15,1,55,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
118,8020,EZg23,4947.00665,3,3,20,3,50,3,70,21,120,0,99999,0,99999,0,99999,0,99999,0,99999
119,8021,EZg23g,972.7909502,3,3,20,3,50,3,70,20,90,23,120,0,99999,0,99999,0,99999,0,99999
120,8022,EZg23w,1731.74445,3,3,20,3,50,16,70,21,120,0,99999,0,99999,0,99999,0,99999,0,99999
121,8030,bEZ21,6961.704559,3,2,25,2,60,2,75,20,90,19,120,0,99999,0,99999,0,99999,0,99999
122,9018040,bEZ23,6024.402337,3,3,25,3,65,3,80,21,95,21,120,0,99999,0,99999,0,99999,0,99999
123,9028040,bEZ23,15335.33383,3,3,25,3,65,3,80,21,95,21,120,0,99999,0,99999,0,99999,0,99999
124,8041,bEZ23t,784.1142143,3,3,25,3,65,3,80,21,100,32,120,0,99999,0,99999,0,99999,0,99999
125,8050,bEZ30,4356.694154,3,5,25,5,70,23,85,23,120,0,99999,0,99999,0,99999,0,99999,0,99999
126,8060,zEZ21,69863.98697,3,2,25,2,75,2,90,20,105,19,120,0,99999,0,99999,0,99999,0,99999
127,8061,zEZ21t,1289.107656,3,2,25,2,75,2,85,20,100,32,120,0,99999,0,99999,0,99999,0,99999
128,8070,zEZ21g,3147.914699,3,2,25,1,75,19,90,19,105,23,120,0,99999,0,99999,0,99999,0,99999
129,9018090,zEZ23,17415.59714,3,3,25,3,70,3,90,21,110,21,120,0,99999,0,99999,0,99999,0,99999
130,9028090,zEZ23,44261.74806,3,3,25,3,70,3,90,21,110,21,120,0,99999,0,99999,0,99999,0,99999
131,8091,zEZ23g,1341.098552,3,3,25,3,70,2,90,20,110,23,120,0,99999,0,99999,0,99999,0,99999
132,8100,zEZ23x,3833.800735,3,3,25,3,65,20,90,24,120,0,99999,0,99999,0,99999,0,99999,0,99999
133,8101,zEZ23t,4024.523751,3,3,25,3,60,3,75,21,90,32,120,0,99999,0,99999,0,99999,0,99999
134,8110,zEZ30g,4413.9951,3,5,25,5,60,23,90,23,120,0,99999,0,99999,0,99999,0,99999,0,99999
135,8120,EZ50A,6115.6535,3,1,30,1,50,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
136,9010,EK19,5560.541978,4,8,30,8,70,25,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
137,9020,EL5,212.3649756,5,13,25,13,60,32,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
138,10010,pZg21,14181.32098,3,2,20,2,30,20,60,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
139,10012,pZg21g,2042.938049,3,2,20,2,30,20,60,19,90,23,120,0,99999,0,99999,0,99999,0,99999
140,10013,pZg21x,906.5381498,3,2,20,2,30,20,60,20,90,24,120,0,99999,0,99999,0,99999,0,99999
141,10014,pZg21w,1186.107822,3,1,20,1,30,19,60,36,100,19,120,0,99999,0,99999,0,99999,0,99999
142,10016,pZg21,2926.601929,3,1,20,1,30,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
143,10020,kpZg21,5989.715133,3,8,15,27,35,19,70,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
144,90110030,pZg23,3726.308598,3,3,25,3,30,21,60,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
145,90310030,pZg23,4416.658049,3,3,15,21,30,21,60,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
146,90210030,pZg23,65571.61365,3,3,20,3,30,21,60,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
147,10040,pZg23g,8129.248597,3,3,20,3,30,21,60,20,90,23,120,0,99999,0,99999,0,99999,0,99999
148,10060,pZg23x,9016.318398,3,3,20,3,30,21,80,24,120,0,99999,0,99999,0,99999,0,99999,0,99999
149,10061,pZg23t,9449.683392,3,3,20,21,30,21,50,21,90,32,120,0,99999,0,99999,0,99999,0,99999
150,10070,fpZg23,9759.833263,3,3,15,21,30,21,60,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
151,10071,fpZg23g,2544.679097,3,3,15,21,30,21,60,20,100,23,120,0,99999,0,99999,0,99999,0,99999
152,10072,fpZg23t,1695.009994,3,3,15,21,30,21,90,32,120,0,99999,0,99999,0,99999,0,99999,0,99999
153,10080,kpZg23,14649.74291,3,8,15,28,30,21,60,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
154,10081,kpZg23g,2303.098261,3,8,15,28,30,21,60,20,90,23,120,0,99999,0,99999,0,99999,0,99999
155,10090,fkpZg23,8277.827766,3,8,15,28,30,21,60,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
156,10100,pZg30r,1918.044671,3,5,20,23,35,23,85,28,120,0,99999,0,99999,0,99999,0,99999,0,99999
157,10110,pZn21,32408.96992,3,2,25,20,50,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
158,10111,pZn21g,7224.941736,3,2,25,20,40,19,90,23,120,0,99999,0,99999,0,99999,0,99999,0,99999
159,10112,pZn21t,1053.542054,3,2,25,20,40,20,90,32,120,0,99999,0,99999,0,99999,0,99999,0,99999
160,10120,kpZn21,1411.346357,3,8,25,20,40,20,70,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
161,10121,kpZn23x,1105.053075,3,8,20,27,35,21,50,21,90,24,120,0,99999,0,99999,0,99999,0,99999
162,10130,pZn23,27213.70143,3,3,25,21,40,21,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
163,10140,pZn23g,3634.107531,3,3,25,21,40,20,70,23,120,0,99999,0,99999,0,99999,0,99999,0,99999
164,10150,pZn23x,3971.485683,3,3,25,21,50,21,90,24,120,0,99999,0,99999,0,99999,0,99999,0,99999
165,10151,pZn23t,4365.247302,3,3,25,21,50,21,90,32,120,0,99999,0,99999,0,99999,0,99999,0,99999
166,10170,pZn30,2969.594763,3,5,20,23,70,23,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
167,90210186,Zn21,16018.79891,3,1,8,19,40,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
168,90110186,Zn21,8180.243777,3,2,20,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
169,10182,Zn21g,625.2890834,3,1,8,19,40,19,100,23,120,0,99999,0,99999,0,99999,0,99999,0,99999
170,10186,Zn21,5039.488416,3,1,8,19,40,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
171,10190,kZn21,6406.271539,3,9,15,28,35,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
172,10191,kZn30,904.6928823,3,9,15,28,35,23,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
173,10195,kZn21,93.46748365,3,9,15,28,35,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
174,10200,Zn23,9905.146714,3,3,15,21,35,21,60,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
175,10201,Zn23t,1266.038472,3,3,15,21,90,32,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
176,10210,fZn23,3114.232235,3,3,15,21,50,20,90,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
177,10211,fZn21,1196.969954,3,2,15,20,45,20,70,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
178,10220,fkZn23,2618.562409,3,9,15,28,35,21,80,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
179,10221,fkZn21,1031.908147,3,9,15,28,35,19,90,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
180,10230,Zn30,5410.288621,3,5,20,23,30,23,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
181,10240,Zd21,56392.86918,3,1,6,19,10,19,15,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
182,10241,zHd21,1609.850384,3,1,6,19,10,19,15,19,35,19,43,19,55,19,70,19,90,19,120
183,10250,Zd21g,5239.165356,3,1,6,19,10,19,15,19,90,23,120,0,99999,0,99999,0,99999,0,99999
184,10251,zgY30,3011.609974,3,1,6,19,10,19,15,19,30,20,45,20,60,23,90,23,120,0,99999
185,10260,Zd30,7352.356246,3,5,5,23,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
186,10270,Zb21,6996.693671,3,2,8,20,30,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
187,90110280,Zb23,3999.3219,3,3,20,21,40,21,70,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
188,90210280,Zb23,2772.217316,3,3,8,21,15,21,30,21,70,20,120,0,99999,0,99999,0,99999,0,99999
189,10281,Zb23g,941.6271284,3,3,20,21,40,21,70,20,90,23,120,0,99999,0,99999,0,99999,0,99999
190,10290,Zb30,4054.694984,3,5,20,23,35,23,80,23,120,0,99999,0,99999,0,99999,0,99999,0,99999
191,11010,pZg20A,1618.224526,3,2,20,20,30,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
192,11020,Zn10A,3665.550586,3,4,25,22,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
193,11021,Zn10Av,1593.21753,3,4,25,22,70,36,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
194,11030,kZn40A,7510.573099,3,8,30,20,40,20,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
195,11031,kZn10A,1963.254417,3,8,30,22,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
196,11032,kZn50A,3846.905719,3,8,30,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
197,90111040,Zn40A,4331.024052,3,2,25,20,40,20,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
198,90211040,Zn40A,5419.364108,3,2,5,20,40,20,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
199,90111050,Zn50A,10471.80349,3,2,25,20,45,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
200,90211050,Zn50A,15859.19401,3,1,5,19,50,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
201,11051,Zn50Ar,2722.909711,3,3,25,21,45,19,80,27,120,0,99999,0,99999,0,99999,0,99999,0,99999
202,11060,Zn30A,3764.63088,3,23,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
203,11061,Zn30Ab,888.017165,3,5,5,23,40,23,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
204,11070,Zd20A,16219.23481,3,1,7,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
205,11071,Zd20Ab,1186.736999,3,1,7,19,40,19,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
206,12010,Sn13A,3563.862909,3,3,25,21,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
207,12011,Sn13Av,3042.701728,3,3,25,21,90,36,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
208,12020,kSn13A,3717.701135,3,8,25,27,35,21,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
209,13010,MOo02,4300.179845,4,27,50,26,75,20,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
210,13020,MOo05,3952.87954,4,28,50,27,110,20,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
211,13030,MOb72,2001.73817,4,10,5,29,10,29,40,27,60,20,120,0,99999,0,99999,0,99999,0,99999
212,13040,MOb75,5429.681827,4,10,10,29,35,29,90,27,120,0,99999,0,99999,0,99999,0,99999,0,99999
213,15010,pMv51,1858.539217,4,9,20,28,35,30,70,35,120,0,99999,0,99999,0,99999,0,99999,0,99999
214,15020,pMv81,2357.246795,4,11,25,30,65,35,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
215,15030,pMo50,560.1234249,4,10,20,10,30,29,60,28,120,0,99999,0,99999,0,99999,0,99999,0,99999
216,15040,pMo80,3416.754697,4,11,25,30,55,30,75,29,120,0,99999,0,99999,0,99999,0,99999,0,99999
217,15041,pMo80l,213.3363227,4,11,25,30,40,30,70,30,120,0,99999,0,99999,0,99999,0,99999,0,99999
218,90115050,pMn55A,3856.206822,4,9,35,28,80,27,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
219,90215050,pMn55A,14312.66904,4,9,15,9,35,28,80,27,120,0,99999,0,99999,0,99999,0,99999,0,99999
220,15051,pMn52A,881.5135363,4,8,15,8,35,27,60,19,120,0,99999,0,99999,0,99999,0,99999,0,99999
221,90115060,pMn85A,5645.847224,4,10,25,10,40,30,70,29,120,0,99999,0,99999,0,99999,0,99999,0,99999
222,90215060,pMn85A,13719.90781,4,10,20,10,40,30,70,29,120,0,99999,0,99999,0,99999,0,99999,0,99999
223,15070,pMn86C,8432.716199,4,12,20,12,35,30,60,29,120,0,99999,0,99999,0,99999,0,99999,0,99999
224,15071,pMn86Cw,1490.847367,4,11,25,30,45,36,75,29,100,28,120,0,99999,0,99999,0,99999,0,99999
225,15080,pMn55C,11552.42326,4,9,30,28,70,27,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
226,15090,pMn85C,18839.12216,4,11,25,11,35,30,70,30,110,28,120,0,99999,0,99999,0,99999,0,99999
227,15100,Mv51A,6354.261086,4,27,25,27,40,29,60,35,75,35,120,0,99999,0,99999,0,99999,0,99999
228,15101,eMv61C,1062.879075,4,9,25,29,50,35,65,35,120,0,99999,0,99999,0,99999,0,99999,0,99999
229,15110,Mv81A,2814.550113,4,10,20,29,55,35,65,35,120,0,99999,0,99999,0,99999,0,99999,0,99999
